Theme,Variable,Description,Logic_criteria,Criteria
Condition,Autotext.class,"In <b>%s</b>, the overall condition of reef habitats was classified as <b>%s</b>.",,
Condition,Good,The good classification shows that all Indicators at or above relevant historical and expected reference levels.,"Cl==""Good""",
Condition,Watch,This classification indicates the habitat condition is moderate but at least one indicator is under performing. It is important to keep these reefs on watch and monitor their trajectories. ,"Cl==""Watch""",
Condition,Warning I,This classification indicates a first level of warning. Reef habitats are either not recovering as expected or certain processes are underperforming. This suggests there is an increased risk of further deterioration. ,"Cl==""Warning I""",
Condition,Warning II,This classification indicates a second level of warning. Reef habitats are showing signs of a compromised condition. A higher risk of continued degradation is expected unless the performance of recovery processes improve.,"Cl==""Warning II""",
Condition,Critical,"This classification suggests reef habitats are in a critical condition, as they are in a degraded condition and recovery processes are compromised.","Cl==""Critical""",
Ecosystem engineering,Autotext1,"The cover of hard corals declined to be below historical reference levels. At current levels, hard corals are unlikely to be supporting positive reef accretion at %s of the reefs monitored.",(isTRUE(Low.hc) & (as.numeric(n.conseq) >0) & low.years<=1),
Ecosystem engineering,Autotext2,"The cover of hard corals declined to be below historical reference levels. However, at current levels hard corals are likely to be supporting positive reef accretion at all reefs monitored.",(isTRUE(Low.hc) & as.numeric(n.conseq)==0 & low.years==1),
Ecosystem engineering,Autotext3,The cover of hard corals has remained below historical reference levels since %s. At %s levels hard corals are unlikely to be supporting positive reef accretion at %s of %s the reefs monitored.,(isTRUE(Low.hc) & as.numeric(n.conseq) >0 & low.years>1),
Ecosystem engineering,Autotext4,"The cover of hard corals has remained below historical reference levels since %s. However, at %s levels hard corals are likely to be supporting positive reef accretion at all reefs monitored.",isTRUE(Low.hc) & as.numeric(n.conseq==0) & low.years>1,
Ecosystem engineering,Autotext5,The cover of hard corals is %s historical reference levels. At current levels hard corals are likely to be supporting positive reef accretion at %s of %s the reefs monitored.,isFALSE(Low.hc) & as.numeric(n.conseq >0),
Ecosystem engineering,Autotext6,The cover of hard corals is %s historical reference levels. At current levels hard corals are likely to be supporting positive reef accretion at all reefs monitored.,isFALSE(Low.hc) & as.numeric(n.conseq==0),
Trends,Autotext7,"Of %s is that during  recent recovery periods, rates of increase in hard coral cover have been slower than expected.",isTRUE(Low.pe),
Trends,Autotext8,"Encouragingly, during the most recent recovery periods, rates of increase in hard coral cover have %s historical observations.",isFALSE(Low.pe),
Trends,Autotext9,Of the %s reefs monitored recovery performance was below their historical reference range at %s.,,
Trends,Autotext10,"Notably, current data indicates that recovery performance has declined relative to each reef's recent trajectories.",isFALSE(Low.pe) & isTRUE(Low.hc),
Trends,Autotext11,"Additionally, at s% reefs the current observation suggests a decline in recovery performance relative to their recent trajectories.",n.reef.pe==n.reef.pe.low & isTRUE(Low.pe),
Trends,Autotext12,"The median density of juvenile corals was %s historical reference levels, , suggesting ongoing recovery potential.",isFALSE(Low.j) & n.reef.j.low==0,
Trends,Autotext13,"The median density of juvenile corals was %s historical reference levels, however fell short at %s reefs.",isFALSE(Low.j) & n.reef.j.low>0,
Trends,Autotext14,"The median density of juvenile corals was below historical reference levels, %s from the assessment of coral communities. Juvenile densities were below reference levels at %s of the %s reefs assessed.",isTRUE(Low.j),
Processes,Autotext15,%s the current densities of <i>Acropora</i> juveniles are sufficient to promote recovery at all reefs.,n.reef.j.c.low==0,
Processes,Autotext16,%s the current densities of <i>Acropora</i> juveniles are low and likely to be limiting recovery at all reefs.,n.reef.j.c.low==n.reef.j,
Processes,Autotext17,%s the current densities of <i>Acropora</i> juveniles are low and likely to be limiting recovery at %s reefs.,n.reef.j.c.low<n.reef.j,
Processes,Autotext18,The representation of macroalgae species within the benthic algal communities was %s historical reference levels.,isFALSE(Low.m),
Processes,Autotext19,%s the representation of macroalgae species within the benthic algal communities was above historical reference levels.,isTRUE(Low.m),
